carat,cut,color,clarity,depth,table,price,volume
1.01,Very Good,H,I1,63.2,58.0,3167,162.6
1.08,Ideal,F,I1,61.8,56.0,3168,180.22
1.23,Ideal,H,I1,61.6,55.0,3168,202.05
0.91,Very Good,J,SI2,62.4,61.0,3169,146.32
0.79,Ideal,F,SI1,61.2,56.0,3169,131.1
0.77,Ideal,F,SI1,61.4,55.0,3169,128.78
0.76,Very Good,G,VS2,61.1,57.0,3170,125.09
0.92,Very Good,J,SI1,62.6,58.0,3170,149.15
0.92,Ideal,J,SI1,62.3,56.0,3170,153.07
0.76,Ideal,E,SI1,61.8,57.0,3170,124.1
0.75,Ideal,E,SI1,62.1,55.0,3170,123.04
0.74,Premium,F,VS1,61.7,57.0,3170,121.6
0.74,Ideal,F,VS1,62.3,56.0,3170,120.06
1.09,Fair,F,SI2,66.3,56.0,3170,176.54
0.74,Ideal,F,VS1,61.7,56.0,3170,120.64
0.74,Ideal,F,VS1,62.3,57.0,3170,120.27
0.74,Ideal,F,VS2,62.1,56.0,3171,121.86
0.83,Very Good,G,SI1,62.3,58.0,3171,133.83
0.83,Ideal,H,VS2,61.6,55.0,3171,136.98
0.78,Ideal,G,VS2,62.2,57.0,3171,126.76
0.75,Ideal,G,SI1,61.8,55.0,3171,122.15
0.83,Ideal,G,SI1,61.8,55.0,3171,138.17
0.79,Ideal,E,SI1,60.3,56.0,3171,131.55
1.03,Ideal,H,I1,61.5,57.0,3172,169.0
1.03,Premium,H,I1,61.1,60.0,3172,166.54
1.03,Ideal,H,SI2,62.4,57.0,3172,163.58
0.7,Ideal,G,VS2,62.7,54.0,3172,117.55
0.7,Ideal,E,VS2,62.2,55.0,3172,112.57
0.84,Fair,F,VS2,65.0,57.2,3172,130.39
0.93,Fair,G,SI2,66.1,58.1,3172,144.24
0.7,Very Good,E,SI1,63.9,57.0,3173,112.46
1.01,Premium,G,SI2,60.1,58.0,3173,162.57
0.8,Ideal,D,SI2,61.5,58.0,3173,131.82
1.01,Fair,G,SI2,68.5,63.0,3173,151.03
0.92,Premium,H,SI2,60.4,59.0,3174,154.19
0.71,Very Good,F,VS1,62.9,55.0,3175,116.11
0.7,Ideal,H,VVS1,60.2,57.0,3175,117.4
0.9,Ideal,J,VS1,62.5,55.0,3175,146.09
0.7,Premium,E,VS1,62.9,61.0,3175,111.09
0.9,Premium,G,SI2,61.9,61.0,3175,140.05
0.9,Premium,J,VS1,62.3,56.0,3175,149.24
0.7,Good,E,VS1,63.6,58.0,3175,114.4
1.0,Fair,J,SI1,65.3,57.0,3175,158.06
1.5,Fair,H,I1,69.3,61.0,3175,227.54
0.9,Very Good,I,SI1,61.8,58.0,3176,149.43
0.9,Good,I,SI1,63.5,59.0,3176,142.45
0.77,Ideal,G,VS1,62.4,54.0,3176,128.88
0.32,Ideal,F,SI2,61.7,56.0,561,53.45
0.32,Premium,G,VS2,62.5,58.0,561,52.13
0.32,Ideal,G,VS2,62.0,57.0,561,52.85
0.32,Ideal,H,VS1,61.8,55.0,561,53.21
0.32,Ideal,G,VS2,61.5,57.0,561,52.58
0.32,Very Good,H,VS1,63.0,55.0,561,54.07
0.32,Premium,I,VVS2,62.1,59.0,561,51.63
0.32,Very Good,I,VVS2,63.0,57.0,561,51.85
0.32,Very Good,G,VS2,62.8,58.0,561,51.0
0.32,Premium,G,VS2,60.8,59.0,561,52.67
0.32,Premium,G,VS2,61.1,58.0,561,53.3
0.32,Very Good,G,VS2,59.9,57.0,561,54.23
0.32,Very Good,H,VS1,62.8,58.0,561,52.09
0.32,Very Good,E,SI1,62.2,58.0,561,52.06
0.32,Premium,E,SI1,62.3,58.0,561,52.49
0.4,Good,H,SI2,63.8,57.0,561,65.63
0.32,Premium,G,VS2,61.5,60.0,561,51.49
0.32,Premium,G,VS2,60.7,58.0,561,51.69
0.32,Premium,G,VS2,61.5,59.0,561,52.7
0.32,Ideal,G,VS2,61.4,57.0,561,52.15
0.32,Ideal,G,VS2,62.0,57.0,561,52.3
0.32,Ideal,E,SI1,61.8,55.0,561,53.89
0.32,Ideal,H,VS1,61.1,56.0,561,53.86
0.32,Ideal,G,VS2,62.5,56.0,561,53.24
0.32,Very Good,H,VS1,62.8,55.0,561,52.75
0.32,Ideal,G,VS2,61.8,55.0,561,53.33
0.32,Premium,G,VS2,61.2,59.0,561,51.96
0.32,Very Good,G,VS2,62.0,59.0,561,52.42
0.26,Very Good,F,VVS1,61.3,58.0,562,43.64
0.31,Ideal,G,VS2,61.7,55.0,562,51.8
0.7,Ideal,E,VS2,61.1,56.0,3176,115.85
0.72,Ideal,D,SI2,60.5,57.0,3176,121.35
0.7,Very Good,E,VS1,63.8,57.0,3177,113.79
0.74,Ideal,D,VS2,61.1,54.0,3177,123.91
0.67,Very Good,G,VVS1,62.0,56.0,3178,109.52
0.74,Ideal,H,VS2,62.2,55.0,3178,122.62
0.72,Ideal,G,VVS2,62.6,56.0,3179,117.13
0.72,Ideal,D,VS2,60.8,56.0,3179,119.91
0.72,Ideal,D,VS2,62.1,57.0,3179,116.15
0.72,Ideal,D,VS2,62.8,57.0,3179,116.52
0.81,Good,D,SI1,63.9,58.0,3179,129.43
1.5,Good,G,I1,57.4,62.0,3179,239.68
0.74,Very Good,E,VS2,61.8,58.0,3180,120.98
0.93,Very Good,J,VS2,61.1,59.0,3180,155.07
0.87,Very Good,H,SI1,62.2,57.0,3180,139.73
0.72,Ideal,H,VVS1,60.8,58.0,3180,117.8
0.72,Ideal,H,VVS1,61.8,55.0,3180,118.11
0.72,Ideal,H,VVS1,61.5,57.0,3180,117.04
0.91,Fair,H,SI1,64.4,60.0,3180,145.15
0.91,Fair,H,SI1,64.8,57.0,3180,146.74
0.91,Premium,H,SI1,62.2,56.0,3180,148.62
0.91,Very Good,J,SI2,62.0,56.0,3181,148.23
0.95,Premium,G,SI2,62.6,58.0,3181,149.15
0.63,Ideal,E,VVS1,61.1,58.0,3181,102.5
0.92,Ideal,J,SI1,61.7,57.0,3181,149.67
0.95,Premium,G,SI2,59.8,60.0,3181,153.23
0.8,Ideal,I,VVS1,61.7,56.0,3181,129.92
0.73,Very Good,D,VS2,63.5,58.0,3182,117.61
0.73,Ideal,D,VS2,62.1,56.0,3182,120.14
0.73,Ideal,G,VVS2,61.9,56.0,3183,120.39
0.73,Ideal,G,VVS2,62.2,55.0,3183,118.57
0.72,Very Good,E,SI1,63.3,56.0,3183,116.55
1.11,Premium,I,I1,61.8,59.0,3183,178.97
0.85,Ideal,H,SI1,60.8,57.0,3183,141.68
0.76,Ideal,G,VS2,61.5,55.0,3183,126.36
0.7,Premium,D,VS1,60.9,60.0,3183,114.59
0.73,Very Good,E,VS2,62.9,58.0,3184,117.99
0.78,Ideal,G,VS2,61.7,55.0,3184,127.7
0.7,Ideal,H,VS1,61.2,55.0,3185,115.44
0.7,Ideal,H,VS1,61.0,56.0,3185,116.86
0.7,Ideal,H,VS1,61.7,57.0,3185,112.92
0.79,Ideal,D,SI1,61.2,56.0,3185,131.1
0.72,Premium,G,IF,60.1,58.0,3185,121.84
0.9,Fair,E,SI2,57.5,68.0,3187,147.18
0.96,Premium,J,SI1,62.9,59.0,3187,154.39
0.9,Very Good,E,SI2,63.4,56.0,3187,141.83
1.03,Good,J,SI2,56.2,62.0,3188,169.74
0.9,Very Good,J,VS1,62.5,56.0,3188,146.08
0.75,Good,G,VVS1,58.4,56.0,3188,127.56
0.77,Ideal,E,SI1,61.6,57.0,3189,125.93
0.91,Very Good,G,SI2,60.3,59.0,3189,147.5
0.85,Ideal,E,SI2,62.8,57.0,3189,138.03
0.71,Ideal,H,VS2,61.9,55.0,3189,117.91
0.74,Ideal,E,VS2,59.5,57.0,3189,124.13
0.73,Ideal,D,SI1,61.8,56.0,3189,119.27
0.73,Ideal,D,SI1,61.9,56.0,3189,119.81
1.01,Premium,J,VS2,62.4,60.0,3190,163.42
0.71,Ideal,H,IF,62.0,54.0,3190,116.56
0.89,Premium,G,SI1,61.1,58.0,3190,145.92
0.92,Premium,I,SI1,62.9,60.0,3190,146.61
1.01,Fair,J,VS2,65.8,55.0,3190,161.71
0.7,Ideal,G,VVS2,60.6,56.0,3191,115.57
0.7,Ideal,G,VVS2,60.3,57.0,3191,116.99
0.7,Ideal,F,VVS2,62.0,55.0,3191,114.29
0.71,Ideal,E,VS2,62.1,57.0,3191,116.88
0.71,Ideal,E,VS2,62.0,57.0,3191,116.35
0.8,Ideal,E,VS2,61.4,55.0,3192,131.02
0.71,Ideal,D,VS1,62.2,55.0,3192,116.68
0.75,Ideal,E,VS2,60.2,57.0,3192,124.55
0.71,Very Good,E,VS1,62.1,60.0,3192,113.88
0.71,Very Good,E,VS1,61.5,57.0,3192,117.24
0.81,Ideal,G,SI1,62.2,57.0,3192,134.05
0.76,Ideal,E,VS2,61.5,56.0,3192,126.57
0.91,Good,H,VS2,63.8,59.0,3192,136.38
1.0,Good,H,SI2,62.0,64.0,3192,159.35
0.76,Premium,E,VS2,60.1,59.0,3192,129.17
1.0,Fair,H,SI2,64.4,57.0,3192,162.56
0.81,Premium,G,VS2,61.4,60.0,3193,133.06
0.73,Ideal,F,VVS2,62.2,54.0,3193,119.73
0.9,Good,J,VVS2,57.4,61.0,3193,150.09
0.7,Good,D,VS1,60.4,63.0,3193,112.48
0.81,Premium,G,VS2,62.9,58.0,3193,129.93
0.9,Good,H,SI2,63.6,60.0,3193,143.29
0.54,Premium,D,VVS1,61.4,57.5,3194,89.54
0.83,Very Good,G,VS2,62.7,58.0,3195,135.36
0.73,Ideal,D,SI1,62.4,53.0,3195,121.99
0.71,Ideal,G,VS1,62.3,54.0,3195,115.34
0.8,Ideal,D,SI1,61.7,56.0,3195,131.95
0.83,Good,G,VS2,63.7,60.9,3195,129.65
0.91,Very Good,F,SI1,63.5,58.0,3195,145.93
0.91,Very Good,F,SI1,63.3,60.0,3195,142.32
0.6,Ideal,F,VVS2,61.5,57.0,3196,98.66
0.9,Good,I,SI1,63.0,53.0,3196,143.96
0.91,Ideal,F,SI2,61.7,55.0,3196,149.66
0.9,Very Good,J,VS1,62.9,56.0,3197,146.61
0.51,Ideal,E,VVS1,61.3,56.0,3197,84.73
0.77,Very Good,G,VS1,61.1,54.0,3197,127.08
1.01,Fair,F,SI1,66.1,60.0,3197,153.06
0.83,Premium,F,SI1,62.0,59.0,3198,134.95
0.73,Ideal,E,VS2,62.2,59.0,3198,118.57
0.71,Ideal,E,VS1,61.4,59.0,3198,115.57
0.71,Ideal,E,VS1,62.3,56.0,3198,114.21
0.83,Ideal,F,SI1,62.1,55.0,3198,135.76
0.7,Premium,E,VS2,61.0,59.0,3199,114.19
1.0,Fair,J,SI2,56.3,64.0,3199,158.79
0.71,Ideal,F,VS1,62.6,57.0,3199,116.93
0.71,Ideal,F,VS1,61.1,56.0,3199,114.71
1.02,Very Good,E,I1,60.6,63.0,3199,165.53
0.7,Ideal,F,VS1,62.4,56.0,3199,113.09
0.7,Ideal,D,SI1,61.7,57.0,3199,116.84
1.02,Premium,H,I1,62.5,60.0,3199,163.84
0.73,Very Good,F,VS1,62.0,57.0,3200,117.29
0.74,Ideal,F,VS2,62.1,56.0,3200,121.86
0.9,Ideal,E,SI2,62.6,56.0,3200,142.37
0.9,Good,H,SI1,63.8,57.0,3201,144.74
0.7,Ideal,E,VS2,60.5,59.0,3201,114.13
0.7,Ideal,E,VS2,61.1,59.0,3201,113.06
0.73,Ideal,E,VS2,62.4,57.0,3201,119.85
0.84,Ideal,I,VS1,61.4,57.0,3201,136.61
0.76,Ideal,F,VS2,61.0,55.0,3201,125.53
0.71,Very Good,D,VS2,59.7,55.0,3203,120.39
1.04,Good,H,I1,63.9,58.0,3203,166.33
1.04,Very Good,H,I1,61.6,61.0,3203,166.09
0.7,Very Good,F,VVS1,63.3,62.0,3204,112.43
0.7,Premium,F,VVS1,63.0,60.0,3204,110.9
1.02,Ideal,G,SI2,62.3,56.0,3204,161.09
1.04,Good,J,SI2,63.8,56.0,3204,162.79
0.7,Very Good,F,VVS2,60.5,60.0,3205,113.01
1.11,Premium,H,I1,61.0,59.0,3205,178.56
0.7,Ideal,G,VVS2,60.8,56.0,3205,116.86
0.7,Ideal,G,VVS2,61.0,56.0,3205,116.25
0.71,Fair,F,IF,58.7,62.0,3205,116.98
0.9,Premium,D,SI2,62.7,59.0,3205,147.32
0.9,Fair,D,SI2,65.9,59.0,3205,140.66
0.9,Fair,D,SI2,66.0,58.0,3205,141.49
0.9,Fair,D,SI2,64.7,54.0,3205,144.8
0.9,Fair,D,SI2,65.7,60.0,3205,138.65
0.9,Fair,D,SI2,64.7,59.0,3205,142.63
0.9,Premium,D,SI2,59.0,61.0,3205,147.65
0.72,Premium,D,VS2,60.6,57.0,3205,118.62
0.75,Premium,E,VS2,61.8,58.0,3206,123.12
0.75,Ideal,E,VS2,61.7,56.0,3206,123.54
0.75,Very Good,E,VS2,62.8,55.0,3206,121.27
0.58,Ideal,D,VVS1,60.6,57.0,3206,95.18
0.7,Ideal,G,VS1,61.2,56.0,3206,114.91
0.7,Ideal,G,VS1,61.4,55.0,3206,116.1
0.7,Good,F,VVS1,59.9,62.0,3206,111.7
0.83,Very Good,F,SI1,63.0,55.0,3207,132.98
0.83,Ideal,D,SI2,62.1,56.0,3207,135.54
1.01,Ideal,J,SI1,62.1,54.0,3207,165.89
0.77,Very Good,H,VVS2,61.1,56.0,3208,125.88
0.7,Very Good,G,VVS1,62.4,59.0,3208,112.17
0.7,Very Good,D,VS1,60.1,60.0,3208,113.87
0.9,Very Good,H,SI2,61.5,59.0,3208,144.89
0.93,Very Good,J,VS2,63.3,61.0,3208,148.23
0.8,Very Good,H,VS1,61.7,62.0,3209,127.7
0.9,Very Good,I,VS2,62.5,57.0,3209,146.08
0.73,Ideal,G,VS1,60.8,56.4,3209,120.87
0.79,Ideal,D,SI1,61.1,57.0,3209,130.09
0.8,Ideal,D,SI2,61.9,54.0,3210,132.09
0.7,Premium,D,VVS2,61.5,60.0,3210,112.39
0.71,Ideal,G,VVS1,62.6,56.0,3210,114.13
0.79,Ideal,F,SI1,60.8,55.0,3210,132.42
0.9,Premium,F,SI2,62.6,62.0,3210,137.67
0.9,Good,F,SI2,64.3,57.0,3210,146.71
0.9,Premium,F,SI2,61.9,62.0,3210,140.05
0.91,Good,J,VS1,64.2,60.0,3210,137.32
0.91,Fair,F,SI2,64.9,56.0,3210,144.93
0.9,Very Good,I,SI1,63.1,54.0,3211,146.51
0.73,Premium,F,VS1,60.7,61.0,3211,116.52
0.73,Ideal,F,VS1,62.6,56.0,3211,117.13
0.77,Premium,F,VS1,59.5,58.0,3211,125.32
0.82,Premium,E,SI1,61.2,61.0,3211,129.87
0.61,Ideal,E,VVS1,59.9,61.0,3212,101.04
0.71,Ideal,D,VS2,62.7,57.0,3212,117.66
0.71,Ideal,E,VS1,61.9,54.0,3212,117.7
0.71,Ideal,E,VS1,62.3,54.0,3212,116.07
0.76,Ideal,G,SI1,61.2,57.0,3212,123.91
0.81,Premium,E,SI1,60.8,59.0,3213,129.38
0.78,Ideal,D,SI1,61.1,57.0,3214,129.3
0.7,Premium,D,VS1,62.9,59.0,3214,115.9
0.95,Good,D,SI2,56.5,61.0,3214,156.2
0.92,Ideal,J,VS2,61.1,57.0,3215,150.32
0.96,Fair,I,VS2,56.1,60.0,3215,161.17
0.96,Premium,G,SI2,62.7,60.0,3215,149.5
1.1,Premium,J,SI2,60.0,58.0,3216,181.71
1.1,Ideal,I,SI2,61.7,56.0,3216,179.51
0.71,Very Good,E,VS2,60.7,58.0,3217,116.52
0.71,Premium,D,VS2,59.2,59.0,3217,117.26
0.71,Ideal,D,VS2,62.5,55.0,3217,117.34
0.71,Very Good,D,VS2,62.4,59.0,3217,115.87
1.0,Very Good,I,SI2,62.4,63.0,3217,163.17
0.9,Very Good,F,SI2,62.8,54.0,3217,142.5
0.64,Ideal,F,VVS2,60.9,56.0,3217,105.86
0.71,Ideal,E,VS2,60.3,56.0,3217,118.89
0.77,Premium,F,VS2,62.1,59.0,3218,125.0
0.52,Ideal,D,VVS1,62.0,57.0,3218,85.2
0.71,Very Good,F,VS1,60.6,60.0,3218,112.61
0.9,Good,E,SI2,62.0,63.0,3218,141.72
0.77,Ideal,E,SI1,61.6,57.0,3218,125.93
1.18,Very Good,E,I1,59.9,63.0,3219,190.51
0.72,Very Good,F,VS1,63.3,57.0,3219,118.23
0.72,Very Good,F,VS1,62.8,58.0,3219,117.25
0.72,Very Good,F,VS1,63.3,58.0,3219,116.35
0.72,Ideal,D,VS2,62.7,56.0,3219,118.81
0.72,Ideal,D,VS2,62.7,56.0,3219,114.85
0.9,Very Good,I,SI1,62.6,58.0,3220,143.21
0.9,Very Good,I,SI1,60.5,58.0,3220,147.42
0.75,Very Good,F,VS1,60.9,59.0,3220,121.83
0.73,Ideal,H,VVS1,62.1,56.0,3220,119.73
1.15,Premium,H,SI2,60.4,58.0,3220,187.73
0.71,Very Good,D,VS2,63.1,58.0,3222,116.03
0.71,Ideal,D,VS2,61.4,57.0,3222,116.71
0.51,Ideal,D,VVS2,61.3,56.0,3223,83.65
0.72,Ideal,E,VS2,61.3,57.0,3223,118.06
0.82,Premium,I,IF,61.2,60.0,3224,132.92
1.01,Premium,H,SI1,62.9,58.0,3224,161.8
0.9,Very Good,J,SI1,63.6,57.0,3225,143.29
0.68,Good,G,VVS1,61.9,55.0,3225,111.92
0.9,Premium,G,SI2,61.3,55.0,3226,142.59
0.74,Very Good,F,VS1,61.7,57.0,3226,121.6
0.74,Ideal,F,VS1,62.3,56.0,3226,120.06
0.73,Very Good,E,VS1,62.3,58.0,3226,117.21
0.8,Premium,D,SI1,59.4,55.0,3226,130.97
0.9,Good,G,SI1,57.7,62.0,3226,141.46
0.9,Fair,H,VS2,65.5,57.0,3226,143.62
0.72,Ideal,F,VS2,61.1,56.0,3226,121.89
0.51,Ideal,E,VVS1,61.3,56.0,3226,84.73
0.86,Very Good,H,SI1,59.7,59.0,3228,141.15
0.65,Ideal,D,VVS2,61.4,60.0,3228,105.23
0.74,Premium,E,VS2,62.7,58.0,3228,118.82
0.72,Very Good,F,VS1,62.2,57.0,3229,116.48
0.7,Premium,D,VS1,61.6,60.0,3229,109.09
0.7,Ideal,D,VS1,62.9,57.0,3229,112.92
0.71,Ideal,H,VS1,61.8,55.0,3229,117.17
0.71,Ideal,H,VS1,61.7,55.0,3229,116.63
0.71,Ideal,H,VS1,60.8,57.0,3229,116.65
0.71,Ideal,H,VS1,61.4,56.0,3229,117.45
0.96,Premium,I,SI2,62.7,58.0,3229,150.88
0.91,Good,H,SI1,63.7,60.0,3229,146.31
0.79,Premium,E,VS2,59.4,60.0,3230,132.42
1.03,Ideal,H,I1,61.5,57.0,3230,169.0
0.81,Premium,F,SI1,61.0,59.0,3230,131.76
0.75,Good,E,VS1,63.1,55.0,3231,124.1
0.81,Ideal,E,VS2,60.4,57.0,3231,133.16
0.9,Very Good,J,VS1,62.3,56.0,3231,149.24
0.7,Very Good,D,VS1,62.9,60.0,3231,110.19
0.83,Ideal,E,SI1,62.7,57.0,3231,134.32
0.59,Very Good,D,VVS1,61.8,57.0,3234,96.74
1.0,Good,J,SI2,62.7,58.0,3234,156.77
0.71,Ideal,H,IF,62.2,57.0,3234,116.48
1.05,Very Good,E,I1,62.2,61.0,3234,170.43
0.7,Ideal,G,VVS2,59.9,58.0,3234,116.33
0.71,Ideal,D,VS2,61.4,56.0,3234,117.65
0.7,Very Good,F,VVS2,58.7,63.0,3234,114.91
1.05,Ideal,H,SI2,60.6,57.0,3234,171.79
0.7,Premium,G,VVS1,62.8,58.0,3234,113.32
0.77,Premium,E,VS2,60.5,59.0,3234,127.45
0.7,Very Good,G,VVS2,60.0,60.0,3235,118.01
0.8,Very Good,H,VS2,63.1,57.0,3235,129.27
0.73,Ideal,E,VS1,62.5,57.0,3235,118.49
0.7,Very Good,E,VS1,61.9,61.0,3235,109.91
0.7,Ideal,H,VVS2,62.2,55.0,3235,117.42
0.72,Ideal,E,VS2,62.1,57.0,3235,117.83
0.72,Ideal,D,VS2,60.9,55.0,3236,120.65
0.95,Premium,I,SI2,62.5,58.0,3237,154.1
0.85,Premium,G,VS2,61.0,58.0,3237,138.19
0.89,Very Good,I,VS2,63.1,55.0,3238,145.42
0.72,Very Good,F,VS2,61.6,58.0,3238,117.98
0.76,Very Good,F,VS2,62.5,58.0,3238,122.53
0.91,Very Good,G,SI2,62.0,59.0,3238,148.23
0.7,Ideal,E,VVS2,62.8,56.0,3238,112.6
0.71,Ideal,E,VS1,60.4,56.0,3238,119.43
0.71,Ideal,E,VS1,62.7,57.0,3238,114.65
0.7,Good,D,VS1,57.8,60.0,3239,116.41
0.7,Premium,D,VS1,60.6,58.0,3239,114.66
0.7,Very Good,D,VS1,61.5,55.0,3239,115.17
0.73,Ideal,I,VVS1,61.8,57.0,3239,118.11
0.9,Very Good,E,SI2,63.2,61.0,3239,138.3
0.77,Very Good,G,VS1,62.3,58.0,3240,124.14
0.77,Very Good,D,SI1,59.9,59.0,3241,124.62
0.79,Ideal,D,SI1,61.2,56.0,3242,131.1
0.72,Ideal,F,SI1,60.2,57.0,3242,120.26
0.9,Very Good,H,SI1,63.2,61.0,3242,141.71
0.77,Very Good,G,VS1,60.9,55.0,3243,126.94
0.81,Very Good,E,SI1,61.9,58.0,3243,130.06
0.68,Ideal,E,VS1,61.3,55.0,3243,112.99
0.71,Ideal,D,VS2,63.0,56.0,3245,115.09
0.9,Good,G,SI2,64.1,56.0,3246,145.49
0.74,Ideal,F,VS2,60.8,57.0,3246,122.25
0.84,Ideal,D,SI2,61.8,56.0,3246,136.89
0.9,Good,I,VS2,63.7,61.0,3246,143.06
0.9,Premium,G,SI2,62.1,58.0,3246,141.25
0.9,Good,I,VS2,63.8,55.0,3246,145.83
0.9,Good,G,SI2,63.8,59.0,3246,140.22
0.9,Very Good,G,SI2,63.4,59.0,3246,141.02
0.9,Good,G,SI2,63.8,56.0,3246,148.02
0.9,Premium,G,SI2,61.1,58.0,3246,145.69
1.03,Fair,J,SI2,56.2,62.0,3246,169.74
0.9,Fair,I,VS2,65.4,60.0,3246,141.24
0.31,Ideal,G,VS2,62.2,54.0,562,52.61
0.31,Ideal,G,VS2,62.2,54.0,562,51.51
0.31,Ideal,G,VS2,60.8,56.0,562,51.46
0.31,Ideal,G,VS2,61.1,57.0,562,51.53
0.31,Ideal,G,VS2,62.2,53.0,562,52.06
0.31,Ideal,H,VS1,62.0,53.0,562,51.21
0.31,Ideal,H,VS1,61.3,55.0,562,51.18
0.39,Very Good,H,SI2,62.4,59.0,562,61.34
0.29,Very Good,F,VVS1,61.5,56.0,563,48.18
0.35,Ideal,G,VS2,61.6,54.0,563,58.56
0.31,Ideal,G,SI1,61.6,55.0,563,50.83
0.25,Fair,D,VS1,61.2,55.0,563,42.19
0.32,Very Good,G,VS2,60.9,58.0,564,53.11
0.32,Ideal,G,VS2,61.8,55.0,564,53.21
0.33,Ideal,H,SI1,61.7,55.0,564,54.14
0.33,Ideal,H,SI1,60.6,56.0,564,54.47
0.3,Ideal,E,SI1,61.9,57.0,564,49.3
0.3,Ideal,E,SI1,62.3,57.0,564,49.55
0.32,Good,E,SI1,62.5,61.0,564,50.93
0.26,Good,D,VVS2,63.6,56.0,564,43.01
0.26,Ideal,E,VVS2,62.5,55.0,564,42.45
0.26,Very Good,E,VVS2,58.9,61.0,564,42.88
0.26,Very Good,E,VVS2,60.8,61.0,564,42.71
0.26,Very Good,E,VVS2,61.7,61.0,564,42.53
0.26,Good,F,VVS1,63.3,57.0,564,42.36
0.36,Ideal,G,SI2,61.8,56.0,565,59.96
0.34,Ideal,E,SI1,61.9,55.0,565,57.2
0.34,Ideal,E,SI1,62.6,55.0,565,56.07
0.31,Ideal,D,SI1,61.3,56.0,565,51.72
0.31,Ideal,D,SI1,61.7,55.0,565,52.23
0.9,Good,G,SI2,64.1,63.0,3246,138.83
0.9,Premium,I,VS2,62.8,61.0,3246,140.37
0.91,Ideal,F,SI2,61.1,55.0,3246,146.78
0.7,Very Good,F,VVS2,62.5,58.0,3247,112.69
0.7,Very Good,D,VS1,62.8,59.0,3247,113.52
0.7,Ideal,G,VVS1,62.6,57.0,3247,114.33
0.71,Ideal,E,VS2,62.0,55.0,3247,116.35
0.71,Ideal,E,VS2,62.5,55.0,3247,115.66
0.52,Ideal,D,VVS1,62.0,57.0,3247,85.2
0.76,Ideal,D,VS2,63.0,56.0,3248,123.55
0.61,Ideal,F,VVS2,61.5,55.0,3248,102.24
0.61,Ideal,F,VVS2,61.4,56.0,3248,100.35
0.61,Ideal,F,VVS2,61.1,57.0,3248,100.3
0.65,Ideal,G,VVS1,61.9,56.0,3248,107.23
0.7,Ideal,E,VS1,62.1,55.0,3248,117.83
1.0,Fair,H,SI2,66.5,62.0,3248,154.43
0.83,Very Good,H,VS2,61.7,59.0,3249,132.17
0.76,Ideal,E,VS2,61.5,56.0,3249,126.57
0.76,Good,E,VS2,63.2,56.0,3249,125.85
0.76,Ideal,H,VVS2,61.0,56.0,3249,124.12
0.73,Ideal,F,SI1,61.7,55.0,3249,120.64
0.81,Good,G,VS2,62.9,58.0,3250,129.93
0.9,Good,H,SI2,63.6,60.0,3250,143.29
0.9,Very Good,H,SI2,59.6,59.0,3250,149.69
0.9,Very Good,H,SI2,62.4,58.0,3250,144.15
0.72,Premium,F,VVS2,61.1,58.0,3250,119.83
0.83,Good,E,SI1,63.7,59.0,3250,132.12
0.9,Fair,G,SI1,65.2,59.0,3250,142.9
0.9,Good,G,SI1,64.2,58.0,3250,140.48
0.93,Premium,J,VS2,62.3,60.0,3250,153.07
0.73,Premium,D,VS2,59.8,58.0,3250,120.94
0.9,Very Good,I,SI1,63.3,59.0,3251,143.39
0.71,Ideal,G,VS1,61.0,56.0,3251,118.13
0.8,Ideal,E,SI2,60.9,57.0,3251,132.42
0.82,Ideal,F,SI1,62.6,56.0,3251,133.3
0.9,Ideal,I,SI1,62.3,56.0,3251,144.86
0.9,Ideal,I,SI1,60.8,57.0,3251,147.34
0.9,Premium,I,SI1,61.8,58.0,3251,147.22
0.77,Ideal,D,SI1,60.8,57.0,3251,126.17
0.71,Ideal,D,SI1,62.0,55.0,3252,117.09
0.7,Very Good,F,VVS1,63.3,56.0,3252,115.41
0.7,Ideal,G,VS2,61.9,56.0,3253,113.96
0.7,Ideal,G,VS2,61.5,57.0,3253,115.17
0.7,Ideal,G,VS2,61.6,57.0,3253,115.29
0.77,Ideal,G,SI1,61.5,56.0,3253,126.57
0.9,Good,G,SI2,61.8,56.0,3253,142.65
0.78,Good,D,SI1,60.1,61.0,3253,123.78
0.83,Ideal,F,SI1,62.1,55.0,3254,135.76
0.71,Ideal,G,VVS1,62.8,56.0,3254,118.4
0.74,Ideal,H,VS1,61.0,55.0,3254,123.36
0.74,Ideal,H,VS1,62.1,55.0,3254,123.04
0.9,Very Good,H,SI2,64.1,59.0,3255,139.88
0.9,Ideal,J,VS2,62.5,57.0,3255,149.62
0.73,Ideal,D,VS2,61.9,56.0,3255,119.81
0.9,Very Good,G,SI2,62.2,60.0,3256,144.24
0.91,Ideal,J,VS2,62.1,56.0,3256,147.99
0.79,Ideal,E,SI1,61.9,55.0,3256,129.05
0.76,Ideal,F,VS2,61.0,55.0,3257,125.53
0.81,Ideal,H,VS1,61.8,58.0,3257,133.78
0.72,Ideal,H,IF,61.4,56.0,3257,118.6
0.91,Very Good,J,VS2,61.0,58.0,3258,149.69
0.78,Very Good,D,SI1,62.5,58.0,3258,126.67
0.93,Fair,I,VS2,64.7,58.0,3258,145.04
0.78,Ideal,F,VS2,61.3,57.0,3259,127.22
1.0,Good,F,SI2,59.4,64.0,3259,163.08
